Anime Name,Condition,Views,Latest Episode
Selection Project,Completed,"113,792","013
"
Kingdom Season 3,Completed,"1,699,718","026
"
Love Live! Superstar!! 2,Ongoing,"80,285","012
"
Four People and Their Respective Lies,Completed,"82,033","011
"
THE LAST SUMMONER,Ongoing,"546,038","012
"
The Vampire Dies in No Time Season 2,Ongoing,"67,785","010
"
CUE!,Completed,"109,249","024
"
Can I Make Your Ears Happy in 180 Seconds?,Ongoing,"169,435","012
"
Kingdom 4,Completed,"839,903","026
"
Tropical-Rouge! Pretty Cure,Completed,"418,061","046
"
Delicious Party♡Precure,Ongoing,"216,937","045
"
A3! SEASON AUTUMN & WINTER,Completed,"148,540","012
"
Re:Zero Break Time 2nd Season,Ongoing,"364,810","025
"
SHAMAN KING (2021),Completed,"3,635,761","052
"
JoJo's Bizarre Adventure: STONE OCEAN Part 2,Completed,"685,699","012
"
"Play it Cool, Guys",Ongoing,"216,020","022
"
Endo and Kobayashi Live! The Latest on Tsundere Villianess Lieselotte,Ongoing,"223,657","011
"
Raven of the Inner Palace,Completed,"203,012","013
"
Higurashi: When They Cry - SOTSU,Completed,"425,184","015
"
Dragon Quest: The Adventure of Dai (2020),Completed,"2,517,173","100
"
Management of Novice Alchemist,Completed,"439,164","012
"
GIANT BEASTS OF ARS,Ongoing,"186,257","011
"
Malevolent Spirits: Mononogatari,Ongoing,"180,227","010
"
Magia Record: Puella Magi Madoka Magica Side Story Season 2,Completed,"217,699","008
"
Diary of Our Days at the Breakwater,Completed,"334,752","012
"
Tsurune - The Linking Shot -,Ongoing,"111,016","011
"
Utawarerumono Mask of Truth,Completed,"333,196","028
"
Tawawa on Monday 2,Completed,"295,865","(Special)
"
Healer Girl,Completed,"73,874","012
"
Grandmaster of Demonic Cultivation 3,Ongoing,"387,103","012
"
Yashahime: Princess Half-Demon: The Second Act,Completed,"616,628","048
"
Futsal Boys!!!!!,Completed,"168,152","012
"
AMAIM Warrior at the Borderline,Completed,"351,646","013
"
LUPIN THE 3rd PART 6,Completed,"369,127","024
"
Rail Romanesque,Completed,"135,601","012
"
IDOLiSH7 S2,Completed,"235,430","015
"
Heaven Official's Blessing,Completed,"651,588","011
"
Let's Make a Mug Too Season 2,Completed,"56,219","012
"
Muv-Luv Alternative Season 2,Completed,"149,787","012
"
Shadowverse,Completed,"689,868","048
"
IDOLiSH7: Third BEAT!,Completed,"95,189","013
"
Mewkledreamy,Completed,"267,712","048
"
"With a Dog AND a Cat, Every Day is Fun",Completed,"205,765","024
"
"Suddenly, Egyptian Gods",Completed,"84,430","010
"
Pokémon Journeys: The Series,Completed,"8,478,285","136
"
The World Ends With You The Animation,Completed,"224,140","012
"
TOKYO MEW MEW NEW,Completed,"115,273","012
"
King's Raid: Successors of the Will,Completed,"2,443,696","026
"
The Gymnastics Samurai,Completed,"257,683","011
"
Tribe Nine,Completed,"212,403","012
"
Deep Insanity: THE LOST CHILD,Completed,"302,434","012
"
